Date,Adj Close
1979-09-01,149.21
1979-10-01,149.02
1979-11-01,143.01
1979-12-01,147.29
1980-01-01,148.35
1980-02-01,145.89
1980-03-01,138.73
1980-04-01,140.26
1980-05-01,153.61
1980-06-01,159.2
1980-07-01,161.47
1980-08-01,159.47
1980-09-01,154.73
1980-10-01,154.07
1980-11-01,152.24
1980-12-01,152.02
1981-01-01,156.67
1981-02-01,156.79
1981-03-01,154.8
1981-04-01,158.68
1981-05-01,154.95
1981-06-01,159.43
1981-07-01,159.66
1981-08-01,157.11
1981-09-01,155.41
1981-10-01,156.22
1981-11-01,164.7
1981-12-01,175.78
1982-01-01,171.14
1982-02-01,172.24
1982-03-01,174.71
1982-04-01,176.68
1982-05-01,180.99
1982-06-01,183.63
1982-07-01,181.36
1982-08-01,188.54
1982-09-01,196.85
1982-10-01,203.81
1982-11-01,213.14
1982-12-01,214.59
1983-01-01,218.78
1983-02-01,218.37
1983-03-01,223.96
1983-04-01,223.35
1983-05-01,228.31
1983-06-01,225.76
1983-07-01,226.54
1983-08-01,222.33
1983-09-01,223.9
1983-10-01,230.52
1983-11-01,231.12
1983-12-01,233.68
1984-01-01,234.21
1984-02-01,238.12
1984-03-01,237.19
1984-04-01,235.4
1984-05-01,235.44
1984-06-01,230.06
1984-07-01,232.51
1984-08-01,241.6
1984-09-01,245.2
1984-10-01,250.25
1984-11-01,259.99
1984-12-01,264.31
1985-01-01,268.1
1985-02-01,273.6
1985-03-01,268.62
1985-04-01,273.8
1985-05-01,279.29
1985-06-01,292.52
1985-07-01,295.57
1985-08-01,294.57
1985-09-01,299.43
1985-10-01,301.74
1985-11-01,307.62
1985-12-01,314.42
1986-01-01,324.16
1986-02-01,325.83
1986-03-01,339.72
1986-04-01,353.86
1986-05-01,355.29
1986-06-01,346.44
1986-07-01,358.24
1986-08-01,360.53
1986-09-01,371.05
1986-10-01,364.98
1986-11-01,370.02
1986-12-01,374.23
1987-01-01,374.75
1987-02-01,378.85
1987-03-01,381.62
1987-04-01,379.11
1987-05-01,369.66
1987-06-01,368.03
1987-07-01,372.26
1987-08-01,371.23
1987-09-01,369
1987-10-01,361.58
1987-11-01,376.06
1987-12-01,377.72
1988-01-01,382.26
1988-02-01,395.04
1988-03-01,399.16
1988-04-01,394.7
1988-05-01,392.48
1988-06-01,389.55
1988-07-01,398.43
1988-08-01,395.54
1988-09-01,396.26
1988-10-01,405.1
1988-11-01,412.38
1988-12-01,407.35
1989-01-01,408.99
1989-02-01,414.27
1989-03-01,410.67
1989-04-01,413.36
1989-05-01,422.27
1989-06-01,432.3
1989-07-01,447.11
1989-08-01,456.72
1989-09-01,448.8
1989-10-01,450.67
1989-11-01,462.63
1989-12-01,467.05
1990-01-01,467.8
1990-02-01,460.81
1990-03-01,461.62
1990-04-01,461.47
1990-05-01,457.23
1990-06-01,470.09
1990-07-01,477.54
1990-08-01,483.59
1990-09-01,476.63
1990-10-01,481.21
1990-11-01,489.14
1990-12-01,499.97
1991-01-01,507.75
1991-02-01,513.19
1991-03-01,515.93
1991-04-01,518.53
1991-05-01,524.23
1991-06-01,526.18
1991-07-01,525.39
1991-08-01,531.54
1991-09-01,543.85
1991-10-01,555.31
1991-11-01,560.24
1991-12-01,565.85
1992-01-01,585.4
1992-02-01,576.03
1992-03-01,578.26
1992-04-01,574.79
1992-05-01,578.39
1992-06-01,589.02
1992-07-01,597.55
1992-08-01,612.79
1992-09-01,618.59
1992-10-01,627.61
1992-11-01,618.39
1992-12-01,617.13
1993-01-01,627.63
1993-02-01,641.1
1993-03-01,653.96
1993-04-01,656.13
1993-05-01,661.28
1993-06-01,660.47
1993-07-01,675.25
1993-08-01,679.22
1993-09-01,694.35
1993-10-01,697.07
1993-11-01,699.67
1993-12-01,692
1994-01-01,694.67
1994-02-01,704.24
1994-03-01,689.12
1994-04-01,673.66
1994-05-01,668.39
1994-06-01,667.58
1994-07-01,666.08
1994-08-01,678.22
1994-09-01,678.38
1994-10-01,668.85
1994-11-01,668.43
1994-12-01,667.09
1995-01-01,671.18
1995-02-01,683.6
1995-03-01,698.19
1995-04-01,702.58
1995-05-01,711.77
1995-06-01,740.55
1995-07-01,746.39
1995-08-01,743.62
1995-09-01,752.24
1995-10-01,759.45
1995-11-01,771.19
1995-12-01,783.14
1996-01-01,794.35
1996-02-01,799.36
1996-03-01,782.99
1996-04-01,776.22
1996-05-01,771.25
1996-06-01,770
1996-07-01,779.76
1996-08-01,781.61
1996-09-01,779.98
1996-10-01,792.8
1996-11-01,810.22
1996-12-01,824.26
1997-01-01,815.77
1997-02-01,816.58
1997-03-01,817.58
1997-04-01,808.74
1997-05-01,820.35
1997-06-01,827.44
1997-07-01,836.68
1997-08-01,860.68
1997-09-01,851.96
1997-10-01,864.9
1997-11-01,879.96
1997-12-01,884.55
1998-01-01,893.86
1998-02-01,907.55
1998-03-01,904.85
1998-04-01,907.32
1998-05-01,911.36
